실적일자,분당,수원,청주,양산
2020-10-29,529,587.8,241,406
2020-10-30,571,573,246,420
2020-10-31,459,444,214,410
2020-11-01,79,33.8,27,88.8
2020-11-02,562,605,231,182.8
2020-11-03,574,603.4,208,454
2020-11-04,591,646.2,276,458.8
2020-11-05,492,548.4,222,404.8
2020-11-06,216,156.2,46,125.2
2020-11-07,445,447.6,174,255.6
2020-11-08,550,605.8,259,405.6
2020-11-09,420,504.6,244,446.8
2020-11-10,515,570.2,242,416.4
2020-11-11,484,536,230,391.2
2020-11-12,462,515.2,224,396.4
2020-11-13,282,284.2,176,368.4
2020-11-14,449,478.4,200,231.2
2020-11-15,376,390.8,198,372
2020-11-16,385,412.8,175,364.8
2020-11-17,210,211.8,84,199.6
2020-11-18,122,95.2,55,227.6
2020-11-19,44,8.6,8,36
2020-11-20,111,73.4,14,384.4
2020-11-21,449,496.6,226,150
2020-11-22,157,105.4,41,55.6
2020-11-23,488,539.8,203,415.6
2020-11-24,358,372.2,139,287.2
2020-11-25,401,478.6,215,398.4
2020-11-26,433,416.2,186,165.6
2020-11-27,368,325.6,63,278.4
2020-11-28,494,537,220,350.8
2020-11-29,239,190.8,76,402.8
2020-11-30,470,506.2,200,391.2
2020-12-01,444,496.4,197,362
2020-12-02,252,281.6,185,282
2020-12-03,714,497.2,204,345.6
2020-12-04,456,494.4,202,390
2020-12-05,296,271.6,52,370
2020-12-06,321,259.6,147,382
2020-12-07,292,298.6,49,188.8
2020-12-08,448,498.2,202,363.2
2020-12-09,356,400.4,161,373.6
2020-12-10,168,186.2,92,96
2020-12-11,242,279.8,129,293.3
2020-12-12,400,454.4,189,324.7
2020-12-13,22,28.8,23,267.2
2020-12-14,348,511.2,206,318
2020-12-15,435,506.4,212,407.6
2020-12-16,463,503.8,213,396.4
2020-12-17,442,472.8,194,395.2
2020-12-18,313,312.8,72,282.4
2020-12-19,454,508.4,203,408.8
2020-12-20,437,478.6,190,388.4
2020-12-21,325,376.2,141,316.8
2020-12-22,286,347.6,179,280
2020-12-23,200,201.8,86,222
2020-12-24,366,398.6,172,257.6
2020-12-25,435,488.4,183,306.4
2020-12-26,313,349.6,125,340.8
2020-12-27,313,335,117,122.8
2020-12-28,350,369.8,142,325.2
2020-12-29,116,85,43,210
2020-12-30,450,540,0,412.8
2020-12-31,368,420.8,0,410.4
2021-01-01,375,400,0,368.8
2021-01-02,453,506.8,30,347.6
2021-01-03,354,396.4,48,364
2021-01-04,295,269.8,71,346.4
2021-01-05,442,494,146,191.2
2021-01-06,476,288,163,389.6
2021-01-07,3,220.2,17,429.2
2021-01-08,7,16,105,437.2
2021-01-09,15,19,154,382.8
2021-01-10,81,61.8,177,342.4
2021-01-11,62,83.4,66,175.6
2021-01-12,108,226.8,157,402.8
2021-01-13,171,320,163,332.4
2021-01-14,350,513.2,197,371.2
2021-01-15,119,52.8,49,256.8
2021-01-16,394,482,194,378.4
2021-01-17,423,507.2,201,255.6
2021-01-18,140,93.4,83,196.4
2021-01-19,487,557.2,207,295.2
2021-01-20,453,522.8,201,392
2021-01-21,142,118.4,99,298.4
2021-01-22,106,95,57,47.2
2021-01-23,331,316.8,78,37.6
2021-01-24,489,558.6,224,91.2
2021-01-25,402,479,179,252
2021-01-26,0,50.2,29,48.4
2021-01-27,626,524.4,209,413.2
2021-01-28,270,180.2,57,276.8
2021-01-29,582,650,257,455.6
2021-01-30,354,357,173,393
2021-01-31,445,516.6,212,420
2021-02-01,216,196.2,114,65.6
2021-02-02,601,663.4,274,408
2021-02-03,523,596.4,247,473.2
2021-02-04,278,340,234,434.8
2021-02-05,0,402,189,344.8
2021-02-06,558,211.6,162,409.2
2021-02-07,448,393.2,198,384
2021-02-08,655,701,299,468
2021-02-09,617,663,282,480
2021-02-10,0,215.6,145,405.6
2021-02-11,731,489.8,207,272.4
2021-02-12,527,577.2,250,308
2021-02-13,554,586.8,268,413.6
2021-02-14,262,260.4,90,95.32
2021-02-15,434,385.6,235,337.08
2021-02-16,152,165.4,159,469.2
2021-02-17,507,631.4,25,464
2021-02-18,667,728,198,420.8
2021-02-19,595,664.8,297,491.2
2021-02-20,580,536.6,260,424.8
2021-02-21,568,599.8,288,440.4
2021-02-22,486,442.2,261,432
2021-02-23,653,704.2,305,352
2021-02-24,590,591.2,242,262.4
2021-02-25,0,187.4,65,128
2021-02-26,1436,707.2,280,244.8
2021-02-27,15,703,289,139.6
2021-02-28,264,284.6,128,262.2
2021-03-01,559,32.2,34,38.8
2021-03-02,560,375.2,99,204.4
2021-03-03,560,619.8,267,474.4
2021-03-04,560,337.2,98,170.4
2021-03-05,560,717.8,302,329.6
2021-03-06,560,440.6,157,101.2
2021-03-07,560,561.4,147,275.6
2021-03-08,560,725.2,321,480.8
2021-03-09,560,582.2,229,394.8
2021-03-10,560,713.8,326,522.8
2021-03-11,560,618.8,288,375.6
2021-03-12,559,174.4,55,52.4
2021-03-13,560,538.4,284,508.4
2021-03-14,560,628,209,521.6
2021-03-15,560,528.6,265,458
2021-03-16,560,786.4,356,444.8
2021-03-17,560,750.2,342,519.6
2021-03-18,560,650.8,317,496.4
2021-03-19,560,599.6,275,483.2
2021-03-20,,68.8,41,60.4
2021-03-21,560,425.2,199,473.6
2021-03-22,560,804,347,601.2
2021-03-23,560,738,347,550
2021-03-24,560,625.6,316,396.4
2021-03-25,560,721.8,343,547.2
2021-03-26,560,578,274,534
2021-03-27,559,136.2,74,156
2021-03-28,559,67,46,468
2021-03-29,560,648.6,313,468
2021-03-30,560,822.8,377,410
2021-03-31,560,776.4,364,542.4
2021-04-01,721,700,275,502
2021-04-02,526,465,265,344.8
2021-04-03,103,53,56,170
2021-04-04,498,421,125,123.2
2021-04-05,896,868,398,604.4
2021-04-06,838,785,357,437.6
2021-04-07,853,802,379,549.2
2021-04-08,905,833,391,500.8
2021-04-09,862,835,363,415.6
2021-04-10,840,790,353,564
2021-04-11,786,748,353,575.2
2021-04-12,235,173,90,110.4
2021-04-13,680,637,283,441.2
2021-04-14,946,901,419,510
2021-04-15,885,820,361,502
2021-04-16,304,179,78,459.2
2021-04-17,571,493,251,328.4
2021-04-18,875,825,373,534
2021-04-19,868,831,358,617.2
2021-04-20,814,784,377,539.6
2021-04-21,790,760,343,541.2
2021-04-22,36,478,274,400.4
2021-04-23,375,321,153,248.4
2021-04-24,485,383,270,518.4
2021-04-25,875,808,353,436.8
2021-04-26,608,694,376,598
2021-04-27,166,324,160,451.6
2021-04-28,256,572,208,538.8
2021-04-29,258,555,294,387.6
2021-04-30,155,208,228,577
2021-05-01,349,504.6,145,250
2021-05-02,579,811.8,323,406.8
2021-05-03,601,839.8,392,610
2021-05-04,141,156.4,132,125.2
2021-05-05,638,797.2,411,523.2
2021-05-06,532,739.2,307,529.2
2021-05-07,393,475,214,463.6
2021-05-08,528,711.2,362,596.4
2021-05-09,638,875.6,404,599.6
2021-05-10,112,132,43,268.8
2021-05-11,568,773.6,275,198.8
2021-05-12,550,724.2,364,433.6
2021-05-13,547,785.6,366,555.2
2021-05-14,485,687.2,310,535.2
2021-05-15,200,219.4,150,84.4
2021-05-16,72,41.6,42,37.2
2021-05-17,127,114.8,63,80.4
2021-05-18,459,600,301,154.4
2021-05-19,590,829.2,363,571.2
2021-05-20,171,200.6,67,57.6
2021-05-21,174,188.4,66,412.4
2021-05-22,579,799.4,375,588.8
2021-05-23,425,584.4,271,527.6
2021-05-24,554,681.4,332,264.8
2021-05-25,433,482,284,373.6
2021-05-26,492,622.4,193,357.2
2021-05-27,185,134.2,158,207.2
2021-05-28,251,266,104,510
2021-05-29,280,492.8,276,605.6
2021-05-30,587,821,374,529.6
2021-05-31,324,403,180,442.4
2021-06-01,373,557.4,316,537.6
2021-06-02,546,765,329,283.6
2021-06-03,142,148.4,64,91.2
2021-06-04,590,781.6,366,395.6
2021-06-05,439,503.4,314,526.4
2021-06-06,477,560.6,295,518
2021-06-07,227,290,237,507.6
2021-06-08,477,669.8,327,510
2021-06-09,488,661.8,344,500.4
2021-06-10,358,476.6,254,410
2021-06-11,234,376.4,230,66.4
2021-06-12,520,766,353,183.6
2021-06-13,488,703.4,290,310.4
2021-06-14,454,573.6,256,250
2021-06-15,205,214,130,150
2021-06-16,465,650.2,261,168
2021-06-17,270,285,168,245.6
2021-06-18,153,134.8,104,270.4
2021-06-19,575,763,365,483.6
2021-06-20,531,722.6,329,519.2
2021-06-21,528,714.2,360,530.8
2021-06-22,402,513.2,266,435.2
2021-06-23,417,508.4,129,348.8
2021-06-24,477,608.6,277,310.8
2021-06-25,484,704.2,355,411.6
2021-06-26,366,452.6,181,341.6
2021-06-27,484,697.2,277,479.2
2021-06-28,263,396,219,367.6
2021-06-29,333,579,294,456.8
2021-06-30,347,449,240,372
2021-07-01,299,657.8,307,336
2021-07-02,252,546,284,307.6
2021-07-03,133,257.8,113,88
2021-07-04,77,65,140,371.6
2021-07-05,210,440.8,184,120.8
2021-07-06,250,526.4,173,55.6
2021-07-07,189,354.2,136,60.8
2021-07-08,260,505.4,225,216
2021-07-09,187,481.4,266,173.2
2021-07-10,250,551.4,260,471.2
2021-07-11,173,291.6,217,464
2021-07-12,227,441.4,284,462.8
2021-07-13,25,400,296,444
2021-07-14,236,410.8,122,403.2
2021-07-15,295,360,108,443.2
2021-07-16,757,486,122,452.4
2021-07-17,823,445.2,141,279.6
2021-07-18,832,524,137,298.8
2021-07-19,532,311.2,100,258
2021-07-20,642,395.2,85,446.8
2021-07-21,874,522.4,151,434.8
2021-07-22,872,498.8,145,400
2021-07-23,879,512.8,156,371.6
2021-07-24,858,490.8,127,402.8
2021-07-25,870,520.8,129,386
2021-07-26,879,518.4,154,511.6
2021-07-27,724,507.2,153,470.4
2021-07-28,610,384,137,433.2
2021-07-29,504,285.6,122,371.6
2021-07-30,788,459.6,144,501.6
2021-07-31,792,390,130,412.8
2021-08-01,329,169.6,64,392
2021-08-02,318,162.8,49,483
2021-08-03,501,314,86,381
2021-08-04,608,424.8,137,456
2021-08-05,626,473.2,140,515
2021-08-06,572,391.6,123,525
2021-08-07,638,426,129,408
2021-08-08,434,292.4,56,134
2021-08-09,588,442.8,134,369
2021-08-10,644,437.2,95,270
2021-08-11,525,346,140,354
2021-08-12,446,311.2,102,374
2021-08-13,393,246.4,62,210
2021-08-14,486,294.8,66,121
2021-08-15,661,470,148,348
2021-08-16,653,486,120,383
2021-08-17,26,387.6,104,135
2021-08-18,554,309.2,106,188
2021-08-19,721,456,108,358
2021-08-20,499,327.6,122,441
2021-08-21,185,115.6,34,17
2021-08-22,411,236.4,77,349
2021-08-23,153,76.8,15,105
2021-08-24,193,144.4,43,42
2021-08-25,,125.6,16,98
2021-08-26,606,178,76,458
2021-08-27,151,65.2,16,313
2021-08-28,525,286,73,474
2021-08-29,367,242.8,80,169
2021-08-30,371,187.6,47,432
2021-08-31,111,61.4,46,213
2021-09-01,221,112.8,28,107.2
2021-09-02,354,227.2,101,179.2
2021-09-03,731,445.6,134,220
2021-09-04,729,453.2,120,282.8
2021-09-05,489,285.6,66,231.2
2021-09-06,380,208.8,55,144.8
2021-09-07,122,36.8,17,126.8
2021-09-08,640,342.8,66,278.8
2021-09-09,695,433.6,115,358.4
2021-09-10,202,361.2,93,151.6
2021-09-11,704,423.2,124,506.4
2021-09-12,742,464.4,117,374.8
2021-09-13,25,401.2,113,248
2021-09-14,638,350.8,79,76
2021-09-15,752,475.6,137,492.4
2021-09-16,689,466.4,112,238.4
2021-09-17,544,298.8,47,54
2021-09-18,592,442.8,132,500.8
2021-09-19,529,374.4,118,405.6
2021-09-20,617,406.4,134,353.2
2021-09-21,418,196,54,82.8
2021-09-22,571,322.4,112,433.6
2021-09-23,481,358,116,528
2021-09-24,655,452.8,113,347.6
2021-09-25,297,170.4,55,262
2021-09-26,651,400.8,77,224.8
2021-09-27,426,269.6,99,245.2
2021-09-28,293,176,54,221.2
2021-09-29,160,62.4,16,160.4
2021-09-30,587,356,116,186
2021-10-01,578,126.8,107,460.4
2021-10-02,537,0,117,465.6
2021-10-03,591,0,116,459.6
2021-10-04,145,0,65,325.6
2021-10-05,387,0,108,460.4
2021-10-06,,0,54,434.4
2021-10-07,304,0,21,377.6
2021-10-08,149,0,7,210.8
2021-10-09,352,0,0,274.4
2021-10-10,207,0,0,403.2
2021-10-11,348,0,0,49.6
2021-10-12,205,0,0,96
2021-10-13,572,0,0,186
2021-10-14,507,56.8,0,454
2021-10-15,205,148.8,0,376
2021-10-16,298,187.2,0,62.4
2021-10-17,690,468.8,0,494
2021-10-18,572,389.6,0,471.2
2021-10-19,1513,271.2,0,424
2021-10-20,13,392.8,0,444.8
2021-10-21,478,507,0,92.4
2021-10-22,562,592.8,0,420.4
2021-10-23,607,610.4,0,404.8
2021-10-24,584,585.8,0,380.4
2021-10-25,601,600,0,444
2021-10-26,478,495.2,0,418.4
2021-10-27,523,563.6,0,398.4
2021-10-28,593,610.4,0,431.2
